pickup_mon,mon_amount
1,18.91955995814836
2,18.57185822852008
3,16.725422512568777
4,19.762935007998003
5,21.515279673076193
6,23.172306987438105
7,24.429215614418283
8,24.90661623913845
9,23.735445539844658
10,23.35080421385626
11,23.53163236587528
12,23.49414413855525
