pickup_mon,mon_amount
01,18.60099427878695
02,18.558698699075695
03,18.50115413501513
04,16.421087756448024
05,18.451841991965406
06,18.766022155104586
07,18.58572984817168
08,18.572788969616997
09,17.680981058052357
10,18.138898026016562
11,17.55121070289137
12,17.43556095053331
